iter	Logloss
0	0.586643077
1	0.5222586631
2	0.485415548
3	0.4605638263
4	0.4394308071
5	0.4273096089
6	0.4179039648
7	0.4045491293
8	0.3980088682
9	0.3904150545
10	0.3866685414
11	0.3842028552
12	0.3667031202
13	0.354222032
14	0.3457430101
15	0.3339787746
16	0.3245052155
17	0.31898786
18	0.316435134
19	0.3149378392
20	0.3138722738
21	0.3070294846
22	0.3062912269
23	0.3024239378
24	0.2978170568
25	0.2969626056
26	0.2938435445
27	0.2925181519
28	0.2893128517
29	0.2873242468
30	0.2840178108
31	0.2789066363
32	0.2780138613
33	0.2743944013
34	0.2700192426
35	0.2660309477
36	0.2649384036
37	0.2635119375
38	0.2628848027
39	0.261605225
40	0.260836494
41	0.2603956719
42	0.2600363365
43	0.2576527206
44	0.2574344248
45	0.2563148853
46	0.2547165184
47	0.2527361553
48	0.2517199034
49	0.2515468302
50	0.2500081017
51	0.2492979227
52	0.2482291149
53	0.2477912521
54	0.2474091321
55	0.2464923981
56	0.2461318816
57	0.2460297224
58	0.2454848482
59	0.2440064259
60	0.2434312533
61	0.2433290236
62	0.2425284516
63	0.2421873138
64	0.2415627795
65	0.2410924936
66	0.239693126
67	0.2373337388
68	0.2353781952
69	0.2349138931
70	0.2334010123
71	0.2325667307
72	0.2321286872
73	0.2310749341
74	0.2305944883
75	0.2292562985
76	0.2291132627
77	0.2287337775
78	0.2285677065
79	0.2284681528
80	0.2274063671
81	0.2268468822
82	0.2264507523
83	0.2263338352
84	0.2257509144
85	0.2253542272
86	0.2250123313
87	0.2249019865
88	0.2246405747
89	0.2244570308
90	0.2239564672
91	0.2232879641
92	0.2227069326
93	0.2224173319
94	0.2222919807
95	0.222132537
96	0.2220590398
97	0.2217978038
98	0.2217170127
99	0.2216446283
100	0.2213504643
101	0.2212813811
102	0.2210720932
103	0.2210235679
104	0.2209585185
105	0.2208911973
106	0.2204101229
107	0.220353265
108	0.22020999
109	0.2201455827
110	0.2200980177
111	0.2199331593
112	0.2197452706
113	0.2196833422
114	0.2194412106
115	0.2193351228
116	0.2189835874
117	0.2187975431
118	0.218621451
119	0.2185598017
120	0.2184877636
121	0.2182178339
122	0.2181668034
123	0.2180163244
124	0.217835162
125	0.2177779021
126	0.2177220823
127	0.2175774022
128	0.2175437581
129	0.2175112686
130	0.2174665446
131	0.2173997709
132	0.2172153275
133	0.2168589527
134	0.2165525237
135	0.2163646504
136	0.2162061441
137	0.2161333084
138	0.2160909183
139	0.2160559386
140	0.2159952737
141	0.2158240419
142	0.2157706667
143	0.2155377081
144	0.2154957528
145	0.2154678419
146	0.2154271589
147	0.2153208585
148	0.2152746629
149	0.2152159713
150	0.2151795265
151	0.2150885906
152	0.2149625069
153	0.2149283225
154	0.2147733683
155	0.2147394172
156	0.2146995542
157	0.2146576324
158	0.2146225822
159	0.2145865842
160	0.2145592463
161	0.2145127199
162	0.21445435
163	0.2143784037
164	0.2142609533
165	0.2142205459
166	0.2141553581
167	0.2141201703
168	0.2140799063
169	0.2140527966
170	0.214024461
171	0.2138688291
172	0.2137482987
173	0.2136243405
174	0.213561664
175	0.2135369339
176	0.2134658447
177	0.2134214619
178	0.2133957281
179	0.21336995
180	0.2133379451
181	0.213278122
182	0.2132220453
183	0.2131880207
184	0.2130053842
185	0.2129644211
186	0.212885732
187	0.2128448453
188	0.2128031009
189	0.212773967
190	0.2127514316
191	0.2127103477
192	0.2126424582
193	0.2126067197
194	0.2125507732
195	0.212515032
196	0.2124822995
197	0.212320189
198	0.2121912585
199	0.2121468823
200	0.2120542909
201	0.2120090317
202	0.2119846434
203	0.2119565167
204	0.2118474064
205	0.2118266416
206	0.2117640323
207	0.2117212461
208	0.2116847185
209	0.2116579877
210	0.2116218176
211	0.2115735285
212	0.2115501049
213	0.2114698764
214	0.211442923
215	0.2114064108
216	0.2113820232
217	0.2113255264
218	0.2112271618
219	0.2111681632
220	0.211137612
221	0.2110124985
222	0.2109880954
223	0.2109611489
224	0.2109300041
225	0.2108924125
226	0.2108045734
227	0.2107771951
228	0.2107312054
229	0.2107084982
230	0.2106666126
231	0.2106439419
232	0.2106047617
233	0.2105667499
234	0.2105323552
235	0.210507127
236	0.2104741932
237	0.2104528716
238	0.2104133987
239	0.2103423415
240	0.2103016321
241	0.2102704319
242	0.2102151032
243	0.2100730822
244	0.2100358229
245	0.2100053316
246	0.2099765607
247	0.2099370172
248	0.2098908711
249	0.2098647708
250	0.2098445779
251	0.2098281718
252	0.209816162
253	0.2097998856
254	0.2097268742
255	0.2096389238
256	0.2095765504
257	0.2094821969
258	0.2094501902
259	0.2094083241
260	0.2093806984
261	0.209347502
262	0.2092293538
263	0.2091934665
264	0.2091623474
265	0.209065201
266	0.209028236
267	0.20900814
268	0.2089818182
269	0.2089551187
270	0.2089125845
271	0.2088808573
272	0.2088215668
273	0.2087918634
274	0.2087552686
275	0.2087276704
276	0.2087017364
277	0.2086755941
278	0.2085913903
279	0.2085168795
280	0.2084937178
281	0.2084742102
282	0.2084403387
283	0.2083836104
284	0.2083580871
285	0.2083271705
286	0.2082763508
287	0.2082091189
288	0.2081791083
289	0.2081497439
290	0.2081195599
291	0.2080983147
292	0.2080816052
293	0.2080671802
294	0.2080215052
295	0.2079979408
296	0.2079714469
297	0.2078900904
298	0.2078704818
299	0.2078495263
300	0.2078081421
301	0.207786822
302	0.2077571713
303	0.2077312537
304	0.207640169
305	0.20761737
306	0.2075877825
307	0.2075702983
308	0.2075040435
309	0.2074294871
310	0.2073601078
311	0.2073370985
312	0.2073052631
313	0.2072813596
314	0.2072625861
315	0.2072158536
316	0.2071926559
317	0.207170952
318	0.2071397577
319	0.2071110089
320	0.2070936906
321	0.2070613988
322	0.2070227784
323	0.2070093947
324	0.2069894981
325	0.2069682771
326	0.2069267331
327	0.2068751
328	0.2068428756
329	0.206779879
330	0.2067574042
331	0.2067228849
332	0.206697652
333	0.2066779881
334	0.2066493723
335	0.2066075166
336	0.2065409721
337	0.2065188523
338	0.2064865555
339	0.2064676465
340	0.2064252842
341	0.2064129334
342	0.2063481273
343	0.2063340833
344	0.2062919137
345	0.2062795882
346	0.2062143709
347	0.2061681786
348	0.2061251411
349	0.2060956465
350	0.206055006
351	0.2060171077
352	0.2059902026
353	0.2059636939
354	0.2059414683
355	0.205852512
356	0.2058235888
357	0.2057970888
358	0.2057787826
359	0.2057435314
360	0.2056632736
361	0.2056353105
362	0.205600264
363	0.2055820134
364	0.2055668841
365	0.2055447935
366	0.2055289172
367	0.2054841631
368	0.2054627886
369	0.2054487304
370	0.2054324753
371	0.2054103079
372	0.2053759901
373	0.2053529637
374	0.2053356717
375	0.2053083039
376	0.2052825888
377	0.2052690346
378	0.2052410586
379	0.2052147883
380	0.2051542854
381	0.2051332397
382	0.2051229535
383	0.2050900813
384	0.2050590764
385	0.2050427174
386	0.2050212353
387	0.2049997344
388	0.2049811862
389	0.2049548997
390	0.2049293803
391	0.2049011336
392	0.204882638
393	0.2048517489
394	0.2048160747
395	0.2048021403
396	0.2047835412
397	0.2047585076
398	0.2046824527
399	0.2046560681
400	0.2046281938
401	0.204590782
402	0.2045655142
403	0.2045405075
404	0.2045194821
405	0.2044941762
406	0.2044798204
407	0.2044494788
408	0.2044246451
409	0.2044031377
410	0.2043313584
411	0.2043028383
412	0.2042832757
413	0.204259076
414	0.2042319396
415	0.2042062441
416	0.2041902512
417	0.2041685278
418	0.2041334586
419	0.2041230599
420	0.2041017144
421	0.2040830398
422	0.2040668039
423	0.2040471767
424	0.204015707
425	0.2039867438
426	0.2039678492
427	0.2039612991
428	0.2039240526
429	0.2039032242
430	0.2038790459
431	0.2038568474
432	0.2038414417
433	0.2038171308
434	0.203796967
435	0.2037623423
436	0.2037357147
437	0.2036921936
438	0.2036614175
439	0.2036393924
440	0.2036122827
441	0.2035876712
442	0.2035679397
443	0.2035350685
444	0.2035070315
445	0.2034867098
446	0.203467052
447	0.2034513533
448	0.2034272282
449	0.2034089209
450	0.203377364
451	0.2033384784
452	0.2033210068
453	0.203286613
454	0.2032337369
455	0.2032165812
456	0.2032017615
457	0.2031864454
458	0.2031684298
459	0.2031501761
460	0.2031297597
461	0.2031125015
462	0.2030918404
463	0.2030761052
464	0.2030601633
465	0.2030448431
466	0.2030271325
467	0.2030106096
468	0.2029945265
469	0.202968143
470	0.2029455916
471	0.2029307259
472	0.2029159121
473	0.2028903967
474	0.2028701845
475	0.2028550749
476	0.2028416544
477	0.202811387
478	0.2027807634
479	0.2027645664
480	0.2027453303
481	0.2027299142
482	0.2027112216
483	0.2026947653
484	0.2026814242
485	0.2026679149
486	0.2026549684
487	0.2026407648
488	0.2026275228
489	0.2026063481
490	0.2025878442
491	0.2025647738
492	0.2025400191
493	0.2025109854
494	0.2024973222
495	0.2024809253
496	0.2024673023
497	0.2024444258
498	0.2024065966
499	0.202394306
