iter	Passed	Remaining
0	227	113686
1	272	67930
2	305	50567
3	327	40663
4	347	34407
5	365	30072
6	383	27033
7	404	24875
8	425	23229
9	448	21954
10	469	20862
11	488	19867
12	508	19048
13	529	18367
14	549	17751
15	570	17252
16	590	16783
17	610	16356
18	630	15968
19	648	15571
20	668	15249
21	688	14957
22	708	14687
23	727	14437
24	746	14190
25	767	13983
26	788	13808
27	807	13607
28	827	13433
29	847	13270
30	866	13110
31	888	13000
32	907	12849
33	928	12719
34	947	12591
35	968	12477
36	988	12373
37	1008	12263
38	1028	12160
39	1050	12075
40	1069	11971
41	1089	11875
42	1109	11795
43	1130	11713
44	1150	11628
45	1170	11556
46	1190	11472
47	1210	11398
48	1230	11322
49	1249	11241
50	1267	11163
51	1287	11088
52	1307	11027
53	1326	10952
54	1345	10889
55	1364	10816
56	1382	10743
57	1400	10675
58	1420	10618
59	1440	10562
60	1458	10497
61	1478	10443
62	1499	10403
63	1519	10354
64	1536	10285
65	1555	10227
66	1573	10169
67	1592	10117
68	1611	10066
69	1631	10021
70	1649	9968
71	1668	9915
72	1688	9873
73	1707	9828
74	1725	9776
75	1744	9732
76	1764	9693
77	1783	9650
78	1802	9606
79	1821	9562
80	1839	9517
81	1860	9481
82	1879	9442
83	1900	9409
84	1919	9373
85	1938	9334
86	1957	9292
87	1974	9242
88	1991	9197
89	2010	9157
90	2031	9130
91	2050	9094
92	2070	9059
93	2088	9019
94	2108	8986
95	2125	8945
96	2143	8906
97	2162	8871
98	2182	8839
99	2200	8800
100	2217	8760
101	2235	8724
102	2255	8691
103	2273	8656
104	2291	8621
105	2310	8588
106	2329	8554
107	2347	8521
108	2365	8485
109	2382	8447
110	2400	8414
111	2420	8384
112	2438	8352
113	2458	8325
114	2476	8291
115	2495	8261
116	2514	8229
117	2533	8201
118	2553	8175
119	2572	8145
120	2591	8115
121	2609	8086
122	2628	8057
123	2647	8028
124	2665	7996
125	2683	7964
126	2701	7935
127	2721	7908
128	2739	7878
129	2757	7847
130	2777	7824
131	2796	7796
132	2815	7768
133	2833	7739
134	2852	7712
135	2870	7684
136	2891	7661
137	2909	7633
138	2928	7605
139	2947	7578
140	2965	7549
141	2983	7521
142	3001	7492
143	3020	7467
144	3039	7440
145	3057	7412
146	3076	7387
147	3095	7362
148	3113	7334
149	3131	7307
150	3149	7280
151	3168	7254
152	3188	7231
153	3205	7202
154	3225	7178
155	3242	7150
156	3260	7122
157	3279	7098
158	3297	7072
159	3316	7047
160	3333	7019
161	3352	6995
162	3370	6969
163	3389	6944
164	3407	6917
165	3426	6894
166	3445	6870
167	3463	6844
168	3483	6821
169	3500	6795
170	3518	6769
171	3537	6745
172	3555	6720
173	3573	6695
174	3591	6670
175	3612	6649
176	3631	6626
177	3650	6603
178	3668	6577
179	3685	6552
180	3704	6529
181	3722	6503
182	3741	6481
183	3764	6465
184	3787	6449
185	3810	6433
186	3840	6428
187	3869	6421
188	3890	6402
189	3907	6376
190	3926	6352
191	3944	6326
192	3961	6302
193	3979	6277
194	3998	6253
195	4017	6231
196	4037	6209
197	4056	6186
198	4076	6165
199	4097	6146
200	4116	6123
201	4136	6103
202	4156	6080
203	4174	6057
204	4192	6033
205	4211	6010
206	4229	5987
207	4247	5963
208	4266	5940
209	4285	5918
210	4304	5895
211	4322	5872
212	4340	5848
213	4358	5825
214	4383	5810
215	4404	5790
216	4424	5769
217	4443	5747
218	4463	5727
219	4482	5704
220	4501	5682
221	4518	5658
222	4536	5634
223	4555	5613
224	4573	5589
225	4592	5568
226	4610	5545
227	4628	5522
228	4648	5501
229	4667	5478
230	4685	5456
231	4704	5434
232	4723	5412
233	4741	5390
234	4761	5369
235	4779	5346
236	4797	5323
237	4815	5300
238	4835	5280
239	4853	5257
240	4872	5236
241	4891	5214
242	4908	5191
243	4927	5169
244	4945	5147
245	4963	5124
246	4982	5103
247	5001	5082
248	5020	5060
249	5038	5038
250	5057	5017
251	5075	4995
252	5093	4972
253	5112	4951
254	5130	4929
255	5149	4908
256	5168	4886
257	5189	4867
258	5207	4845
259	5225	4823
260	5244	4802
261	5263	4781
262	5281	4759
263	5300	4738
264	5318	4716
265	5336	4694
266	5355	4673
267	5376	4654
268	5397	4635
269	5415	4613
270	5434	4592
271	5455	4572
272	5476	4553
273	5494	4531
274	5512	4510
275	5532	4490
276	5551	4469
277	5569	4447
278	5587	4426
279	5607	4405
280	5625	4384
281	5643	4362
282	5661	4341
283	5681	4321
284	5700	4300
285	5723	4282
286	5743	4262
287	5762	4242
288	5781	4220
289	5800	4200
290	5821	4181
291	5839	4159
292	5857	4138
293	5874	4116
294	5894	4096
295	5913	4075
296	5931	4054
297	5950	4033
298	5968	4012
299	5987	3991
300	6006	3970
301	6024	3950
302	6043	3929
303	6061	3908
304	6081	3888
305	6099	3866
306	6116	3845
307	6134	3823
308	6152	3803
309	6171	3782
310	6190	3762
311	6208	3741
312	6228	3721
313	6248	3701
314	6270	3682
315	6290	3662
316	6310	3643
317	6331	3623
318	6351	3603
319	6372	3584
320	6391	3564
321	6411	3544
322	6429	3523
323	6448	3502
324	6465	3481
325	6484	3460
326	6501	3439
327	6520	3419
328	6537	3398
329	6556	3377
330	6574	3356
331	6593	3336
332	6611	3315
333	6630	3295
334	6651	3275
335	6669	3255
336	6688	3234
337	6704	3213
338	6723	3193
339	6743	3173
340	6765	3154
341	6784	3134
342	6802	3113
343	6819	3092
344	6839	3072
345	6856	3051
346	6874	3031
347	6892	3010
348	6912	2990
349	6930	2970
350	6949	2949
351	6967	2929
352	6985	2908
353	7002	2888
354	7021	2867
355	7040	2847
356	7069	2831
357	7092	2813
358	7109	2792
359	7128	2772
360	7146	2751
361	7165	2731
362	7185	2711
363	7203	2691
364	7221	2670
365	7239	2650
366	7258	2630
367	7279	2610
368	7296	2590
369	7315	2570
370	7334	2550
371	7353	2530
372	7371	2509
373	7389	2489
374	7408	2469
375	7429	2450
376	7449	2430
377	7469	2410
378	7489	2391
379	7511	2372
380	7532	2352
381	7554	2333
382	7577	2314
383	7598	2295
384	7619	2275
385	7638	2255
386	7660	2236
387	7680	2216
388	7698	2196
389	7717	2176
390	7737	2157
391	7759	2137
392	7778	2117
393	7799	2098
394	7819	2078
395	7838	2058
396	7858	2038
397	7877	2018
398	7898	1999
399	7917	1979
400	7937	1959
401	7957	1939
402	7976	1919
403	7996	1900
404	8014	1879
405	8034	1860
406	8054	1840
407	8076	1821
408	8095	1801
409	8114	1781
410	8135	1761
411	8157	1742
412	8178	1722
413	8197	1702
414	8216	1682
415	8235	1663
416	8256	1643
417	8275	1623
418	8294	1603
419	8313	1583
420	8334	1563
421	8354	1544
422	8392	1527
423	8418	1509
424	8437	1488
425	8455	1468
426	8474	1448
427	8491	1428
428	8508	1408
429	8527	1388
430	8545	1368
431	8564	1348
432	8582	1328
433	8601	1308
434	8619	1288
435	8638	1268
436	8657	1248
437	8676	1228
438	8695	1208
439	8713	1188
440	8733	1168
441	8752	1148
442	8770	1128
443	8789	1108
444	8809	1088
445	8827	1068
446	8847	1049
447	8866	1029
448	8885	1009
449	8903	989
450	8922	969
451	8941	949
452	8959	929
453	8979	909
454	8999	890
455	9018	870
456	9036	850
457	9054	830
458	9072	810
459	9091	790
460	9110	770
461	9128	750
462	9147	731
463	9167	711
464	9186	691
465	9204	671
466	9222	651
467	9242	631
468	9262	612
469	9282	592
470	9302	572
471	9319	552
472	9338	533
473	9356	513
474	9375	493
475	9394	473
476	9413	453
477	9431	434
478	9448	414
479	9466	394
480	9483	374
481	9500	354
482	9519	335
483	9538	315
484	9557	295
485	9577	275
486	9595	256
487	9613	236
488	9631	216
489	9649	196
490	9668	177
491	9686	157
492	9704	137
493	9725	118
494	9744	98
495	9762	78
496	9780	59
497	9798	39
498	9816	19
499	9834	0
