,CatBoost,LightGBM,TabNet,TabPFN,Consensus_Score
Age,1.7086263207501813,1.9622095725751518,0.19098037994641776,0.19498408571366413,1.0142000897463537
Tenure,1.269054532549663,1.3402121229141626,0.0013522516014421594,0.06480481907892717,0.6688559315360486
NumOfProducts,1.0899860395929113,1.0300008201270527,0.11322810913061239,0.12777460343739544,0.5902473930719929
IsActiveMember,0.6676268103427364,0.6066542658292274,0.0443015509438238,0.048066008835911646,0.34166215898792485
Gender,0.37003601058140134,0.33397506907770536,0.07786747475154585,0.0761269479289437,0.21450137558489907
Balance,0.25144676640058927,0.2428911746248555,0.09723035502728704,0.0855822144823696,0.16928762763377533
Geography,0.31927089318845836,0.2706005679135781,0.03391353086286878,0.0379713297957728,0.1654390804401695
CreditScore,0.09906820160391577,0.11513056826847778,0.012471359027312098,0.009967346264575681,0.05915936879107034
EstimatedSalary,0.0843252886014975,0.1040030521379634,0.00866335950007567,0.0053254979408509494,0.050579299545096885
HasCrCard,0.0463844471432582,0.0522564442018629,0.003991402288277949,0.007089632252852106,0.02743048147156279
